Team,Date,wins_before_date,losses_before_date,opponent_wins_before_date,opponent_losses_before_date,Opponent,Team_FG_pct,Team_2_pct,Team_3_pct,Team_FT_pct,Team_Points,Opp_FG_pct,Opp_2_pct,Opp_3_pct,Opp_FT_pct,Opp_Points
Bowling Green,2025-11-07,1,0,1,0,South Carolina,.243,.250,.231,.833,47,.636,.692,.429,.800,114
LSU,2025-11-28,6,0,2,4,Marist,.528,.589,.250,.833,113,.267,.182,.316,.643,53
Blue Mountain,2025-11-10,0,0,2,0,Southern Miss.,.254,.278,.217,1.000,39,.639,.679,.500,.684,113
Presbyterian,2025-11-03,0,0,0,0,Warren Wilson,.473,.478,.458,.471,113,.333,.381,.111,.500,45
East Texas A&M,2025-11-03,0,0,0,0,North Texas-Dallas,.525,.569,.409,.870,113,.212,.303,.053,.735,48
LSU,2026-03-06,26,4,24,6,Oklahoma,.525,.518,.542,.600,112,.361,.412,.238,.750,78
Missouri,2026-02-26,16,13,27,2,South Carolina,.400,.480,.343,.786,71,.524,.655,.276,.727,112
Abilene Christ.,2025-12-29,8,4,0,3,Nelson,.558,.661,.333,.700,112,.444,.450,.440,.500,54
Miss. St.,2025-12-28,12,1,6,9,Samford,.589,.625,.471,.783,112,.308,.360,.275,.600,54
Agnes Scott,2025-12-17,0,0,4,8,USC Upstate,.220,.304,.167,.636,39,.605,.692,.514,.500,112
Tennessee,2025-12-14,6,2,7,4,Winthrop,.545,.743,.381,.706,112,.250,.298,.118,.500,40
Crown (MN),2025-12-10,0,0,4,6,St. Thomas,.263,.357,.000,.750,23,.616,.654,.524,.733,112
Baylor,2025-12-03,7,1,2,3,Southeastern LA,.635,.717,.500,.667,112,.323,.360,.200,.400,47
Abilene Christ.,2025-12-02,4,3,0,0,McMurry,.583,.727,.357,.783,112,.351,.432,.200,.727,60
LSU,2025-11-29,7,0,1,6,Washington St.,.563,.564,.563,.742,112,.271,.350,.214,.600,35
Iowa St.,2025-11-23,6,0,0,4,Mercyhurst,.541,.677,.400,.850,112,.400,.455,.364,.857,62
Alcorn St.,2025-11-20,2,2,5,0,LSU,.375,.406,.313,.667,49,.577,.636,.375,.800,112
East Texas A&M,2025-11-19,2,1,4,1,Oklahoma,.257,.279,.222,.944,59,.536,.610,.360,.867,112
Oklahoma St.,2025-11-09,3,0,2,0,Oral Roberts,.551,.608,.444,.824,112,.375,.415,.182,.857,62
Florida A&M,2025-11-03,0,0,0,0,Florida St.,.189,.194,.167,.643,39,.467,.556,.333,.865,112
Prairie View,2026-03-05,2,26,9,20,Texas Southern,.270,.227,.333,.778,64,.494,.564,.333,.641,111
Elon,2025-12-30,4,7,0,0,N.C. Wesleyan,.564,.633,.333,.654,111,.385,.410,.308,.667,50
Averett,2025-12-30,0,0,2,10,N.C. Central,.327,.316,.364,.600,48,.517,.609,.200,.577,111
Nelson,2025-11-29,0,2,5,1,Southern Utah,.286,.244,.400,.500,41,.562,.676,.444,.650,111
Texas,2025-11-16,3,0,2,0,Texas Southern,.577,.610,.417,.600,111,.333,.364,.286,.273,45
Coastal Caro.,2025-11-09,0,2,0,0,Lees-McRae,.530,.559,.500,.758,111,.271,.333,.207,.682,53
Brevard,2025-12-30,0,1,6,7,Furman,.328,.375,.269,.643,54,.494,.527,.429,.571,110
Cal St Fullerton,2025-12-28,5,6,0,2,La Sierra,.506,.586,.176,.826,110,.135,.156,.100,.857,22
Dallas,2025-12-28,0,0,6,4,Sam Houston,.300,.317,.222,.600,38,.538,.567,.444,.720,110
LSU,2025-12-21,12,0,6,5,UTA,.488,.545,.250,.650,110,.231,.243,.200,.750,45
Bellarmine,2025-12-21,2,10,8,2,Notre Dame,.264,.351,.063,.600,38,.536,.685,.267,.800,110
Furman,2025-12-14,4,6,0,1,Mars Hill,.506,.564,.385,.818,110,.275,.273,.278,.375,36
Texas,2025-12-10,10,0,3,4,UTRGV,.565,.597,.385,.563,110,.265,.214,.333,.800,45
NC State,2025-11-28,4,3,6,1,Southern Miss.,.558,.586,.474,.750,110,.315,.356,.250,.750,56
Auburn,2025-11-13,3,0,0,2,MVSU,.594,.569,.692,.806,110,.298,.355,.188,.679,50
App. St.,2025-11-07,1,0,0,0,Bob Jones,.618,.723,.381,.692,110,.228,.267,.185,1.000,35
Arl Baptist,2025-11-07,0,0,1,0,UTRGV,.222,.240,.207,.750,36,.536,.660,.378,.462,110
Fairfield,2026-02-05,18,4,9,14,Marist,.543,.576,.514,.824,109,.333,.364,.278,.692,48
Virginia,2026-01-29,14,6,12,9,Wake Forest,.427,.469,.320,.806,109,.507,.542,.435,.750,103
Mass.-Lowell,2025-12-29,5,7,0,0,St. Joseph's–Brk,.468,.617,.319,.750,109,.316,.333,.286,.429,45
Alabama St.,2025-12-28,3,7,13,0,LSU,.288,.375,.185,.250,41,.524,.592,.154,.704,109
Stonehill,2025-12-28,4,6,12,0,Vanderbilt,.392,.481,.292,.500,50,.698,.769,.364,.944,109
Haskell (KS),2025-12-20,0,2,2,9,UMKC,.451,.486,.375,.500,59,.494,.530,.381,.789,109
Ark-Pine Bluff,2025-12-16,3,5,11,0,TCU,.365,.370,.353,.333,54,.631,.702,.444,.792,109
Texas Southern,2025-12-08,3,4,7,2,West Virginia,.357,.393,.286,.500,40,.507,.633,.250,.763,109
Florida St.,2025-11-30,4,4,6,1,Oklahoma,.386,.276,.463,.720,91,.438,.463,.406,.800,109
New Orleans,2025-11-03,0,0,0,0,Oklahoma St.,.345,.400,.200,.583,48,.547,.686,.425,.833,109
LSU,2026-02-22,23,4,16,12,Missouri,.469,.500,.414,.870,108,.242,.227,.250,.667,55
Akron,2026-02-18,6,19,15,9,Ohio,.465,.419,.500,.733,108,.451,.650,.262,.667,105
Ohio St.,2026-01-14,15,2,7,10,Penn St.,.568,.658,.472,.538,108,.467,.558,.344,.333,84
Arcadia,2025-12-28,0,0,8,3,Saint Joseph's,.308,.364,.211,1.000,38,.618,.694,.531,.500,108
Coastal Caro.,2025-11-30,4,4,2,6,Gardner-Webb,.582,.625,.519,.552,108,.356,.500,.242,.778,57
Ecclesia,2025-11-14,0,0,1,2,NW St.,.229,.269,.182,.800,30,.556,.667,.462,.588,108
South Carolina St.,2025-11-11,1,0,0,0,Trinity Baptist,.531,.627,.367,.458,108,.341,.440,.211,.571,42
Duquesne,2025-11-06,1,0,0,0,Slippery Rock,.459,.435,.522,.783,108,.339,.333,.345,.750,53
UNCA,2025-11-06,0,1,0,1,Warren Wilson,.470,.508,.375,.724,108,.333,.412,.200,.500,44
Houston Christian,2025-11-04,0,0,0,0,LSU,.380,.478,.296,.643,55,.532,.530,.538,.739,108
Georgia St.,2025-11-03,0,0,0,0,Oglethorpe,.437,.538,.286,.688,108,.358,.438,.238,.762,59
Cal St Stanislaus,2025-11-03,0,0,0,0,Santa Clara,.303,.327,.182,.714,52,.447,.548,.349,.567,108
Arkansas St.,2026-01-08,13,3,8,6,South Ala.,.457,.579,.349,.818,107,.434,.514,.278,.593,67
Memphis,2025-12-28,5,7,0,1,Rust,.597,.667,.375,.656,107,.356,.385,.300,.938,63
Niagara,2025-12-19,0,9,2,7,Siena,.394,.451,.200,.875,69,.440,.542,.250,.826,107
Haskell (KS),2025-12-17,0,1,9,2,Kansas,.280,.241,.333,.667,39,.514,.614,.367,.769,107
Eastern Ky.,2025-11-22,4,1,0,0,Midway,.524,.660,.343,.692,107,.333,.375,.286,.857,66
Portland,2025-11-11,1,1,0,0,Warner Pacific,.625,.651,.571,.833,107,.182,.200,.111,.563,26
MVSU,2025-11-09,0,1,2,0,Miss. St.,.300,.378,.174,.750,43,.521,.537,.471,.806,107
Harris-Stowe,2025-11-05,0,0,0,0,Lindenwood,.167,.190,.111,.250,23,.507,.578,.400,.792,107
UCF,2026-02-11,10,13,20,5,West Virginia,.411,.442,.308,.667,56,.557,.597,.412,.917,106
Boston College,2026-01-29,4,18,14,6,NC State,.414,.406,.421,.909,84,.613,.732,.381,.957,106
Cornell,2026-01-13,6,8,0,0,SUNY Delhi,.494,.569,.355,.778,106,.192,.152,.263,.500,27
Bob Jones,2026-01-03,0,2,7,7,Furman,.174,.130,.217,.000,21,.583,.667,.200,.333,106
Bellarmine,2026-01-03,2,12,7,5,West Ga.,.426,.538,.286,.760,65,.596,.600,.591,.862,106
Long Beach State,2025-12-20,0,9,10,1,UCLA,.327,.351,.267,.750,44,.553,.702,.310,.650,106
Mercyhurst,2025-12-19,0,10,10,1,Syracuse,.246,.321,.182,.667,40,.590,.629,.438,.538,106
