Team,Date,wins_before_date,losses_before_date,opponent_wins_before_date,opponent_losses_before_date,Opponent,Team_FG_pct,Team_2_pct,Team_3_pct,Team_FT_pct,Team_Points,Opp_FG_pct,Opp_2_pct,Opp_3_pct,Opp_FT_pct,Opp_Points
Eastern Ill.,2025-11-28,0,5,4,2,Louisville,.300,.429,.136,.556,38,.458,.510,.348,.680,91
Nebraska,2025-11-25,6,0,5,1,Virginia,.508,.550,.421,.742,91,.500,.517,.476,.667,82
Murray St.,2025-11-22,2,2,2,2,UAB,.443,.489,.360,.741,91,.455,.542,.167,.545,79
Benedictine,2025-11-18,0,1,3,1,Southern Utah,.333,.378,.238,.760,68,.614,.700,.412,.737,91
Boise St.,2025-11-14,2,0,3,0,UC Davis,.542,.512,.611,.842,91,.483,.500,.458,.833,77
SMU,2025-11-13,1,1,3,0,Texas Tech,.301,.275,.333,.625,60,.544,.579,.474,.800,91
Cal St Northridge,2025-11-12,2,0,1,1,San Diego St.,.424,.471,.360,.733,70,.492,.500,.481,.737,91
Charleston So.,2025-11-11,0,2,1,1,East Carolina,.411,.500,.333,.545,62,.459,.469,.440,.750,91
Murray St.,2025-11-11,1,0,2,0,South Dakota St.,.292,.372,.172,.867,60,.576,.682,.364,.636,91
Duke,2025-11-09,0,1,1,0,Holy Cross,.500,.488,.522,.722,91,.284,.262,.320,.333,48
Cheyney,2025-11-08,0,0,0,1,Md.-East. Shore,.289,.361,.000,.611,37,.487,.604,.217,.522,91
South Ala.,2025-11-08,1,0,0,1,UAB,.530,.500,.577,.462,91,.383,.452,.310,.867,68
Gardner-Webb,2025-11-08,0,1,0,1,West Ga.,.400,.400,.400,.583,68,.468,.529,.393,.759,91
Molloy,2025-11-07,0,0,0,1,Stony Brook,.490,.583,.267,.500,59,.522,.560,.421,.733,91
Furman,2025-11-06,1,0,1,0,Georgia,.238,.265,.207,.529,45,.493,.500,.467,.737,91
BYU,2025-11-05,0,0,0,1,Coastal Caro.,.484,.769,.278,.724,91,.282,.371,.194,.556,57
Illinois,2025-11-04,0,0,0,0,SE Missouri St,.525,.563,.364,.781,91,.351,.378,.250,.706,67
Minnesota,2025-11-04,0,0,0,0,North Dakota,.407,.467,.269,.875,91,.212,.238,.194,.792,47
UConn,2026-03-21 NCAA,34,0,18,15,UTSA,.493,.737,.212,.591,90,.408,.424,.375,.667,52
UConn,2026-03-09,33,0,25,6,Villanova,.523,.628,.318,.714,90,.273,.379,.189,.727,51
Boston College,2026-03-01,5,25,21,7,Syracuse,.349,.455,.105,.950,65,.493,.556,.316,.800,90
San Francisco,2026-02-28,16,12,22,8,Santa Clara,.405,.481,.200,.750,82,.400,.410,.387,.759,90
Arizona St.,2026-02-18,21,6,20,6,Iowa St.,.361,.400,.286,.875,64,.532,.543,.500,.727,90
SE Missouri St,2026-02-07,8,14,15,7,Southern Ind.,.396,.636,.226,.571,57,.533,.512,.579,.750,90
Pacific,2026-02-05,8,13,18,6,Santa Clara,.492,.543,.417,.846,90,.354,.500,.148,.780,82
Buffalo,2026-02-04,2,19,13,7,Central Mich.,.377,.475,.190,.818,59,.452,.444,.474,.682,90
Houston,2026-02-04,7,14,20,3,TCU,.304,.341,.167,.563,45,.576,.659,.389,.714,90
Nebraska,2026-02-01,16,5,19,3,Ohio St.,.406,.465,.308,.778,71,.517,.571,.440,.944,90
Miami (OH),2026-01-31,17,4,12,7,Ohio,.476,.520,.447,.813,90,.381,.455,.300,.765,70
Pepperdine,2026-01-29,12,9,5,15,Seattle,.556,.571,.524,1.000,90,.333,.385,.259,.857,63
East Texas A&M,2026-01-29,7,10,1,18,New Orleans,.431,.444,.407,.630,90,.381,.400,.333,.826,73
Incarnate Word,2026-01-24,9,8,3,14,TAMUCC,.452,.500,.412,.800,90,.490,.516,.444,.810,73
Arizona,2026-01-24,10,8,15,5,Iowa St.,.424,.500,.235,.688,65,.545,.625,.435,.645,90
Coppin St.,2026-01-18,4,15,18,1,South Carolina,.322,.341,.278,.714,48,.515,.531,.474,.786,90
Bellarmine,2026-01-17,2,16,14,4,Eastern Ky.,.278,.343,.158,.813,46,.500,.605,.367,.917,90
Denver,2026-01-15,7,9,13,4,South Dakota St.,.348,.435,.261,.545,44,.508,.605,.370,.824,90
Cal,2026-01-15,10,8,14,3,Syracuse,.417,.455,.294,.917,87,.362,.341,.500,.727,90
Memphis,2026-01-10,7,9,9,7,South Fla.,.444,.500,.167,.714,81,.500,.517,.417,.682,90
Miss. St.,2026-01-08,14,2,10,3,Tennessee,.455,.528,.154,.857,80,.507,.600,.370,.706,90
Providence,2025-12-31,8,6,13,0,UConn,.354,.310,.421,.688,53,.550,.618,.462,.750,90
Evansville,2025-12-29,2,10,9,2,Murray St.,.476,.490,.429,.583,80,.414,.563,.231,.837,90
Boston College,2025-12-29,4,10,11,3,UNC,.213,.257,.154,.818,39,.576,.732,.320,.667,90
Briar Cliff,2025-12-27,0,0,1,13,Omaha,.431,.463,.333,.722,81,.475,.516,.433,.760,90
Pacific,2025-12-21,5,5,9,2,Washington,.418,.553,.118,.500,50,.531,.564,.480,.769,90
Iowa,2025-12-20,10,1,11,0,UConn,.490,.500,.471,.750,64,.522,.575,.448,.714,90
Bloomfield,2025-12-20,0,2,6,8,Md.-East. Shore,.410,.390,.450,.762,75,.410,.473,.261,.870,90
Montana,2025-12-20,2,8,6,4,Tarleton St.,.471,.556,.375,.933,90,.443,.413,.500,.786,85
Oklahoma St.,2025-12-15,10,2,6,3,Tulsa,.492,.579,.348,.733,90,.409,.379,.467,.882,58
DePaul,2025-12-14,3,8,8,1,Michigan St.,.303,.364,.182,.333,46,.522,.659,.280,.611,90
Jacksonville St.,2025-12-13,4,5,0,0,Point,.442,.512,.361,.818,90,.262,.333,.167,.556,30
Omaha,2025-12-13,1,9,7,1,Western Ill.,.314,.385,.240,.500,41,.536,.635,.235,.706,90
Alabama St.,2025-12-09,2,5,9,1,Baylor,.258,.288,.143,.000,36,.459,.447,.478,.742,90
Longwood,2025-12-07,6,4,0,0,UNC Pembroke,.430,.458,.350,.882,90,.436,.450,.400,.667,62
Md.-East. Shore,2025-12-07,6,5,8,1,Oklahoma,.179,.167,.214,.778,37,.446,.553,.296,.706,90
St. Francis (IL),2025-12-04,0,0,4,1,Western Ill.,.266,.205,.400,.867,55,.416,.436,.364,.720,90
Montana St.,2025-12-03,5,1,5,2,North Dakota St.,.359,.400,.310,.714,65,.558,.529,.611,.750,90
Bellarmine,2025-12-02,2,7,6,1,Illinois,.196,.167,.231,.765,41,.434,.541,.136,.833,90
New Orleans,2025-11-30,0,6,4,3,South Fla.,.303,.333,.259,.611,58,.508,.605,.300,.800,90
Akron,2025-11-30,0,6,4,2,Youngstown St.,.356,.333,.400,.591,63,.559,.659,.267,.952,90
Drake,2025-11-26,1,4,1,6,Northern Ky.,.481,.548,.381,.688,69,.492,.625,.355,.850,90
Samford,2025-11-21,2,3,0,0,Stillman,.453,.500,.415,.556,90,.245,.325,.000,.600,35
Fordham,2025-11-20,3,2,3,0,Seton Hall,.431,.460,.364,.650,83,.324,.333,.313,.711,90
Northern Ariz.,2025-11-15,1,2,1,2,UC Irvine,.389,.406,.364,.758,75,.384,.391,.370,.923,90
Furman,2025-11-13,1,2,2,1,Georgia St.,.405,.523,.233,.719,90,.431,.509,.176,.632,89
Bellarmine,2025-11-13,1,1,1,0,Ohio St.,.183,.171,.211,.350,33,.427,.585,.235,.783,90
Kentucky,2025-11-12,3,0,1,2,USC Upstate,.478,.667,.350,.857,90,.212,.194,.250,1.000,30
Coppin St.,2025-11-12,1,2,2,0,Penn St.,.373,.426,.167,.667,62,.429,.522,.250,.857,90
Bowling Green,2025-11-12,1,1,2,1,Wisconsin,.400,.455,.286,.909,78,.545,.650,.385,.533,90
Eastern Ill.,2025-11-11,0,2,0,1,Indiana St.,.310,.308,.316,.679,69,.478,.481,.467,.531,90
Marquette,2025-11-11,2,0,2,0,Minnesota,.327,.370,.286,1.000,47,.507,.563,.407,.600,90
Cal Poly,2025-11-09,1,0,2,0,Stanford,.389,.391,.375,1.000,55,.508,.605,.318,.850,90
UMKC,2025-11-08,0,1,0,0,William Jewell,.469,.507,.286,.556,90,.226,.275,.077,.556,35
Montana,2025-11-08,1,0,1,0,Oregon,.352,.462,.250,.667,47,.515,.563,.400,.857,90
Utah,2025-11-07,1,0,0,0,Utah St.,.578,.625,.500,.571,90,.328,.400,.208,.429,53
Georgetown,2025-11-06,0,0,1,0,Stonehill,.500,.489,.529,.739,90,.375,.406,.313,.444,45
Stevenson,2025-11-03,0,0,0,0,UMBC,.386,.469,.167,.650,49,.471,.571,.238,.760,90
N.C. Central,2025-11-03,0,0,0,0,UNC,.263,.233,.357,.438,42,.529,.583,.400,.526,90
Cleary,2025-11-03,0,0,0,0,Oakland,.200,.184,.235,.857,32,.507,.574,.375,.563,90
Schreiner,2025-11-03,0,0,0,0,Tarleton St.,.226,.242,.200,.583,35,.446,.522,.321,.882,90
Seattle,2025-11-03,0,0,0,0,Washington,.283,.325,.200,.714,43,.522,.569,.375,.583,90
Idaho,2026-03-20 NCAA,29,5,24,7,Oklahoma,.247,.286,.217,.643,59,.507,.600,.318,.560,89
Liberty,2026-03-12,17,12,18,11,Sam Houston,.484,.545,.414,.739,89,.380,.500,.167,.593,57
Central Mich.,2026-03-11,18,11,17,12,Ohio,.484,.500,.455,.667,88,.455,.472,.433,.889,89
Ole Miss,2026-03-06,22,10,27,3,Vanderbilt,.571,.591,.500,.792,89,.375,.462,.273,.652,78
Hawaii,2026-03-05,18,10,10,19,UC Riverside,.565,.595,.500,.643,89,.279,.265,.296,.700,56
La.-Monroe,2026-03-05,15,15,15,15,Southern Miss.,.429,.431,.421,.778,89,.464,.471,.455,.476,72
Longwood,2026-02-28,19,9,3,25,Presbyterian,.460,.575,.261,.758,89,.415,.477,.111,.667,57
Dartmouth,2026-02-28,10,15,15,10,Penn,.441,.485,.385,1.000,66,.587,.703,.423,.800,89
LSU,2026-02-26,24,4,16,10,Tennessee,.473,.500,.333,.652,89,.380,.381,.379,.615,73
Arkansas,2026-02-26,11,18,21,6,Oklahoma,.224,.276,.172,.650,44,.459,.596,.136,.947,89
SE Missouri St,2026-02-26,10,17,4,23,Tennessee St.,.559,.585,.500,.700,89,.346,.389,.250,.571,52
N.C. A&T,2026-02-20,9,15,7,16,Northeastern,.421,.409,.438,.579,89,.410,.455,.304,.556,86
Idaho,2026-02-07,18,5,7,15,Montana,.538,.653,.188,.889,89,.351,.333,.364,.929,65
Niagara,2026-02-07,0,22,19,4,Quinnipiac,.340,.294,.438,.400,45,.592,.677,.444,.793,89
Indiana,2026-02-01,11,11,8,13,Northwestern,.579,.657,.455,.813,89,.423,.455,.313,.833,75
Bismarck St.,2026-02-01,0,0,5,17,North Dakota,.452,.500,.421,.667,80,.500,.656,.344,.700,89
North Dakota,2026-01-29,4,16,11,9,Oral Roberts,.446,.586,.333,.667,80,.517,.488,.579,.696,89
Nebraska,2026-01-28,15,5,8,12,Northwestern,.526,.528,.524,.900,89,.455,.487,.375,.680,73
Florida,2026-01-26,13,8,18,2,LSU,.368,.441,.261,.632,60,.484,.520,.357,.759,89
Drake,2026-01-25,6,12,16,3,Murray St.,.493,.500,.478,.700,88,.456,.580,.111,.862,89
Columbia,2026-01-24,12,5,9,8,Dartmouth,.507,.512,.500,.714,89,.220,.240,.200,.500,32
Oregon,2026-01-24,14,7,7,13,Penn St.,.571,.612,.429,.846,89,.393,.475,.238,.500,59
Murray St.,2026-01-23,16,2,9,8,UNI,.412,.500,.269,.733,74,.607,.553,.722,.667,89
Florida,2026-01-18,12,8,13,7,Missouri,.531,.615,.400,.733,89,.400,.467,.320,.731,71
Miss. St.,2026-01-15,14,4,17,0,Vanderbilt,.485,.533,.381,.857,84,.500,.613,.379,.900,89
Florida St.,2026-01-11,5,11,10,6,Miami (FL),.386,.489,.200,.737,73,.478,.568,.320,.750,89
Maryland,2026-01-11,16,1,14,2,Ohio St.,.412,.463,.333,.688,76,.500,.500,.500,.909,89
Le Moyne,2026-01-04,3,11,0,12,Mercyhurst,.448,.489,.308,.640,72,.459,.500,.429,.818,89
Arkansas St.,2026-01-03,12,3,7,6,La.-Monroe,.433,.567,.324,.864,89,.421,.524,.133,.636,71
Longwood,2026-01-03,9,4,2,12,Presbyterian,.437,.531,.227,.759,89,.412,.500,.091,.565,56
New Mexico,2026-01-03,10,4,2,12,San Jose St.,.400,.475,.325,.600,89,.298,.423,.194,.846,51
Drake,2026-01-02,3,9,3,8,Southern Ill.,.530,.592,.353,.565,89,.432,.491,.286,.556,75
Missouri,2026-01-01,12,3,15,0,Texas,.535,.458,.632,.813,71,.453,.481,.381,.722,89
S Wesleyan,2026-01-01,0,1,5,8,Wofford,.206,.243,.161,.588,43,.481,.609,.290,.462,89
Green Bay,2025-12-30,8,5,5,9,Wright St.,.614,.737,.368,.923,89,.350,.464,.250,.556,55
Indiana St.,2025-12-22,4,6,7,5,Old Dominion,.324,.340,.286,.533,68,.438,.455,.389,.692,89
Southern Ind.,2025-12-22,8,2,7,3,Tennessee,.309,.295,.364,.545,44,.403,.458,.375,.591,89
Central Mich.,2025-12-20,6,4,2,8,Northern Ill.,.492,.486,.500,.917,89,.288,.244,.455,.762,51
Florida St.,2025-12-20,4,9,3,10,South Carolina St.,.417,.558,.207,.821,89,.261,.333,.125,.400,41
Louisville,2025-12-20,11,3,7,2,Tennessee,.493,.536,.368,.615,89,.342,.392,.240,.438,65
New Mexico,2025-12-20,9,3,6,5,UNLV,.441,.514,.318,.667,71,.517,.467,.571,.867,89
Illinois St.,2025-12-19,5,6,3,7,Oakland,.636,.725,.400,.813,89,.390,.389,.391,.846,66
Eastern Wash.,2025-12-18,6,4,9,1,UCSB,.309,.360,.167,.667,63,.470,.537,.360,.750,89
Marquette,2025-12-17,7,3,10,0,UConn,.382,.410,.313,.750,53,.594,.620,.500,.600,89
Arizona,2025-12-15,7,2,1,9,Chicago St.,.525,.571,.412,.833,89,.482,.579,.278,.611,70
Le Moyne,2025-12-14,1,7,6,3,Marquette,.326,.286,.389,.500,42,.515,.606,.424,1.000,89
Jacksonville,2025-12-14,7,1,10,0,TCU,.211,.229,.111,.857,49,.479,.605,.343,.700,89
Baylor,2025-12-14,10,1,11,0,Texas,.391,.400,.375,.667,54,.493,.516,.364,.650,89
Charlotte,2025-12-07,4,5,8,1,Miss. St.,.328,.326,.333,.571,59,.521,.608,.300,.563,89
Duke,2025-11-27,3,4,6,1,UCLA,.338,.372,.273,.600,59,.525,.486,.591,.875,89
Oral Roberts,2025-11-26,2,5,1,4,TAMUCC,.556,.611,.444,.808,89,.452,.538,.304,.579,74
Lehigh,2025-11-25,2,4,3,2,San Francisco,.403,.529,.289,.882,84,.554,.657,.381,.594,89
Northern Ky.,2025-11-25,1,5,3,2,Stetson,.345,.400,.286,.789,63,.500,.500,.500,.800,89
Cal St Northridge,2025-11-23,2,2,4,1,Idaho,.319,.389,.242,.500,56,.432,.511,.296,.708,89
Idaho,2025-11-21,3,1,0,3,UC Riverside,.456,.478,.409,.947,89,.406,.415,.391,.700,75
Florida,2025-11-20,4,1,3,2,Florida St.,.471,.509,.353,.708,89,.426,.488,.278,.667,67
Penn St.,2025-11-16,3,0,3,0,Saint Joseph's,.574,.523,.706,.467,89,.352,.313,.385,.857,77
North Ala.,2025-11-14,3,0,2,1,Oklahoma,.324,.378,.258,.643,61,.387,.457,.276,.821,89
Florida St.,2025-11-12,2,1,1,1,Nicholls St.,.485,.531,.441,.714,89,.422,.460,.286,.667,64
Oklahoma,2025-11-12,1,1,1,1,UMKC,.554,.568,.526,.739,89,.305,.289,.333,.750,61
Kean,2025-11-11,0,0,1,1,LIU,.182,.217,.143,.533,27,.410,.474,.238,.833,89
Portland St.,2025-11-11,0,1,0,1,Willamette,.559,.623,.333,.889,89,.345,.357,.333,.500,52
Temple,2025-11-11,2,0,2,0,West Virginia,.333,.381,.250,.733,61,.525,.583,.435,.739,89
Arkansas,2025-11-10,2,0,1,1,Central Ark.,.361,.370,.346,.778,89,.390,.479,.241,.625,77
Colgate,2025-11-10,2,0,1,1,New Hampshire,.550,.622,.333,.818,89,.466,.535,.267,.724,79
Kansas St.,2025-11-10,2,0,0,1,Lamar,.516,.641,.320,.682,89,.373,.353,.412,.727,61
Seattle,2025-11-09,1,1,1,1,UCSB,.316,.389,.190,.818,49,.522,.579,.448,.600,89
Louisville,2025-11-09,0,1,0,1,Northern Ky.,.554,.609,.421,.692,89,.387,.438,.333,.429,61
Florida A&M,2025-11-08,0,1,1,0,Howard,.299,.308,.286,.357,53,.457,.471,.421,.810,89
Idaho,2025-11-07,1,0,1,0,UC Davis,.358,.386,.292,.611,76,.470,.472,.467,.765,89
Grambling,2025-11-07,0,1,1,0,North Texas,.224,.286,.120,.615,49,.566,.538,.643,.645,89
Fla. Atlantic,2025-11-04,0,0,0,0,Fla. Memorial,.554,.588,.500,.696,89,.392,.472,.200,.600,46
Duquesne,2025-11-03,0,0,0,0,SFU,.444,.611,.111,.700,89,.339,.417,.286,.769,60
Marquette,2025-11-03,0,0,0,0,Winthrop,.484,.588,.367,.889,89,.323,.333,.300,.733,57
Gonzaga,2026-03-09,22,9,24,8,Santa Clara,.557,.532,.643,.733,88,.268,.326,.179,.895,60
Louisiana Tech,2026-03-05,22,5,9,19,New Mexico St.,.500,.500,.500,.846,88,.404,.500,.263,.400,47
Belmont,2026-02-28,16,11,9,19,Indiana St.,.470,.568,.273,.833,88,.413,.489,.222,.793,79
Akron,2026-02-25,7,20,22,6,Ball St.,.318,.395,.174,.750,55,.419,.469,.320,.783,88
East Carolina,2026-02-25,20,8,8,19,Memphis,.365,.365,.364,.714,80,.485,.556,.167,.647,88
Michigan,2026-02-25,22,5,23,5,Ohio St.,.493,.523,.440,.750,88,.400,.447,.321,.708,86
Iowa St.,2026-02-25,21,7,21,8,Oklahoma St.,.443,.429,.462,.733,77,.532,.610,.381,.737,88
Notre Dame,2026-02-22,17,9,9,18,SMU,.531,.565,.444,.667,88,.397,.378,.429,.727,63
Ohio St.,2026-02-22,22,5,17,9,USC,.526,.568,.385,.821,88,.537,.621,.440,.778,83
Charleston,2026-02-20,20,4,14,11,Towson,.449,.509,.167,.857,88,.368,.364,.371,.789,78
Georgia St.,2026-02-19,9,17,15,12,Old Dominion,.358,.383,.300,.677,75,.492,.558,.350,.679,88
Ball St.,2026-02-18,21,5,2,22,Buffalo,.472,.521,.375,.579,88,.316,.395,.158,.762,55
Evansville,2026-02-15,6,19,14,10,Illinois St.,.527,.579,.412,.769,75,.554,.629,.429,.739,88
Florida St.,2026-02-15,9,16,23,4,Louisville,.369,.368,.370,1.000,65,.493,.600,.308,.556,88
Drake,2026-02-14,6,17,8,16,Indiana St.,.468,.536,.412,.615,88,.320,.333,.286,.640,70
UC Davis,2026-02-12,17,7,17,6,UC San Diego,.342,.256,.444,.783,88,.419,.510,.217,.722,80
Northern Ariz.,2026-02-12,8,17,6,17,Portland St.,.429,.436,.400,.733,88,.394,.453,.222,.870,80
Charleston So.,2026-02-07,7,16,3,20,Presbyterian,.558,.618,.444,.917,88,.369,.431,.143,.500,62
Central Mich.,2026-02-07,14,7,19,6,Marshall,.475,.524,.368,.615,81,.426,.472,.375,.783,88
Miss. St.,2026-02-05,16,7,22,2,South Carolina,.276,.382,.125,.714,45,.548,.583,.429,.933,88
High Point,2026-02-04,20,2,11,12,Winthrop,.468,.568,.320,.880,88,.406,.451,.231,.905,74
Longwood,2026-02-04,15,6,15,9,Radford,.466,.564,.263,.784,88,.329,.386,.250,.789,73
Michigan,2026-02-04,19,3,16,6,Nebraska,.531,.619,.364,.800,88,.441,.447,.429,.833,76
Minnesota,2026-02-01,15,6,11,10,Purdue,.603,.630,.500,.706,88,.373,.405,.318,1.000,55
Miss. St.,2026-02-01,16,6,14,9,Missouri,.417,.474,.353,.800,80,.582,.690,.462,.800,88
Arizona,2026-02-01,10,10,17,5,Oklahoma St.,.483,.477,.500,.750,69,.556,.650,.391,.750,88
Iowa,2026-02-01,18,3,20,1,UCLA,.434,.563,.238,.737,65,.578,.596,.500,1.000,88
James Madison,2026-01-31,15,8,9,11,South Ala.,.576,.658,.429,.611,88,.323,.318,.333,.600,52
Coastal Caro.,2026-01-30,11,11,17,4,Troy,.429,.455,.400,.647,77,.413,.438,.370,.889,88
Florida,2026-01-29,13,9,19,2,Texas,.449,.485,.375,.783,68,.561,.607,.300,.647,88
Minnesota,2026-01-25,13,6,13,7,Wisconsin,.593,.605,.563,.789,88,.346,.321,.375,.889,53
Eastern Ky.,2026-01-24,16,4,7,11,North Florida,.500,.600,.263,.792,88,.359,.415,.261,.250,54
Louisville,2026-01-18,17,3,13,5,NC State,.438,.492,.263,.765,88,.458,.463,.444,.750,80
Stetson,2026-01-17,10,6,11,5,West Ga.,.426,.463,.370,.571,76,.550,.571,.500,.591,88
Florida A&M,2026-01-15,3,11,3,12,MVSU,.438,.471,.308,.824,88,.415,.475,.231,.643,74
Fla. Atlantic,2026-01-13,7,9,3,14,Wichita St.,.516,.579,.423,.688,88,.338,.422,.150,.708,64
Charleston,2026-01-11,11,3,7,7,Hampton,.590,.676,.458,.833,88,.518,.585,.333,.800,75
Middle Tenn.,2026-01-10,8,7,6,9,New Mexico St.,.526,.531,.520,.750,88,.321,.394,.217,.769,51
Maryland,2026-01-08,15,1,8,7,Rutgers,.483,.371,.640,.737,88,.200,.205,.188,.727,41
St. John's (NY),2026-01-07,13,3,15,0,UConn,.359,.438,.304,.667,43,.590,.674,.389,.900,88
Brown,2026-01-05,8,4,4,9,Yale,.524,.609,.294,.630,88,.459,.489,.375,.833,72
Cal St Northridge,2026-01-03,5,7,10,2,UCSB,.460,.516,.368,.607,70,.571,.667,.353,.783,88
Indiana St.,2026-01-01,4,8,0,13,Valparaiso,.405,.490,.240,.786,88,.386,.367,.407,.793,78
Arkansas,2026-01-01,11,4,13,0,Vanderbilt,.481,.545,.368,.824,71,.458,.553,.353,.625,88
East Carolina,2025-12-30,8,5,7,5,UAB,.378,.456,.242,.857,88,.508,.563,.333,.643,87
Fort Wayne,2025-12-29,9,4,3,11,Northern Ky.,.437,.500,.355,.667,85,.483,.412,.577,.714,88
Creighton,2025-12-22,6,5,7,4,Seton Hall,.441,.500,.394,.824,79,.561,.618,.478,.813,88
Virginia,2025-12-20,8,3,7,6,Winthrop,.523,.564,.462,.667,88,.305,.342,.238,.857,53
Temple,2025-12-13,4,5,3,6,VCU,.527,.567,.480,.818,88,.393,.419,.333,.600,63
Lipscomb,2025-12-11,3,6,5,4,Purdue,.321,.367,.269,.500,45,.507,.595,.370,.800,88
Colgate,2025-12-10,4,5,8,1,Syracuse,.320,.367,.250,.625,42,.440,.455,.400,.560,88
Bethune-Cookman,2025-12-06,1,7,0,1,Livingstone,.451,.524,.345,.700,88,.371,.407,.250,.688,67
Northern Ariz.,2025-12-06,1,8,7,2,South Dakota St.,.386,.333,.444,.762,72,.541,.595,.421,.700,88
East Tenn. St.,2025-11-29,2,5,5,2,Louisville,.327,.500,.125,.650,50,.484,.488,.476,.720,88
George Mason,2025-11-28,5,2,3,2,Murray St.,.451,.519,.235,.789,83,.458,.611,.217,.879,88
Oregon St.,2025-11-27,5,1,6,0,Vanderbilt,.426,.487,.318,.778,66,.471,.476,.462,.706,88
Colorado St.,2025-11-25,5,0,0,0,S.D. Mines,.478,.564,.367,.786,88,.267,.226,.310,1.000,43
Coppin St.,2025-11-23,1,4,4,1,Tennessee,.306,.350,.111,.571,35,.408,.484,.350,.762,88
Southern U.,2025-11-23,1,3,5,0,UCLA,.286,.359,.118,1.000,37,.508,.622,.357,.706,88
Temple,2025-11-22,3,2,3,2,Villanova,.400,.476,.154,.706,58,.565,.622,.480,.857,88
IU East,2025-11-22,0,1,3,2,Wright St.,.339,.421,.167,.600,50,.476,.629,.286,.909,88
Kent St.,2025-11-19,3,2,2,1,Ohio St.,.525,.538,.500,.864,68,.413,.500,.276,.720,88
Minnesota,2025-11-14,3,0,3,0,NJIT,.529,.600,.333,.526,88,.296,.344,.227,.333,39
St. John's (NY),2025-11-14,2,1,0,2,Yale,.583,.711,.364,.556,88,.449,.488,.250,.737,60
Maryland,2025-11-13,3,0,2,1,Towson,.478,.481,.467,.750,88,.424,.500,.273,.889,70
Morgan St.,2025-11-12,0,2,0,0,Wash. Adventist,.429,.434,.417,.500,88,.317,.396,.067,.533,49
Florida A&M,2025-11-10,0,2,1,1,George Mason,.296,.371,.158,.625,40,.421,.422,.419,.579,88
Campbell,2025-11-09,0,2,0,1,VU Lynchburg,.383,.385,.379,.625,88,.188,.243,.000,.556,23
Coppin St.,2025-11-09,1,1,0,0,Ohio St.,.298,.341,.154,.920,59,.468,.588,.231,.556,88
Sam Houston,2025-11-09,1,0,1,0,TCU,.288,.296,.250,.556,46,.583,.658,.455,.615,88
Fairfield,2025-11-08,1,0,1,0,Lehigh,.451,.529,.378,.833,88,.333,.429,.217,.875,60
Cedarville,2025-11-07,0,0,1,0,Miami (OH),.327,.308,.348,.900,49,.493,.596,.273,.824,88
Georgia St.,2025-11-07,1,0,1,0,Miss. St.,.383,.421,.318,.643,62,.516,.523,.500,.750,88
Kent St.,2025-11-07,0,1,1,0,West Virginia,.327,.314,.357,.833,47,.484,.595,.333,.654,88
Omaha,2025-11-06,0,1,0,0,Saint Mary (NE),.408,.436,.378,.706,88,.304,.368,.167,.769,47
New Paltz,2025-11-05,0,0,0,1,Wagner,.315,.361,.222,.533,46,.492,.574,.250,.733,88
Cincinnati,2025-11-04,0,0,0,0,Lehigh,.458,.410,.550,.769,85,.492,.564,.375,.680,88
Saint Peter's,2025-11-04,0,0,0,0,Seton Hall,.268,.393,.143,.625,39,.486,.595,.321,.733,88
Toledo,2025-11-03,0,0,0,0,Troy,.259,.375,.091,.750,51,.467,.500,.368,.647,88
Sioux Falls,2025-11-03,0,0,0,0,Utah,.345,.350,.333,.800,62,.438,.563,.313,.846,88
Duke,2026-03-27 NCAA,26,8,29,5,LSU,.425,.511,.269,.783,87,.465,.476,.375,.941,85
Oklahoma St.,2026-03-23 NCAA,24,9,32,1,UCLA,.433,.511,.250,.625,68,.524,.565,.412,.737,87
Missouri St.,2026-03-20 NCAA,23,12,31,3,Texas,.286,.333,.200,.750,45,.500,.542,.222,.810,87
San Francisco,2026-03-08,18,13,23,8,Santa Clara,.397,.417,.333,.778,69,.443,.472,.400,.821,87
Dayton,2026-03-06,17,13,21,8,George Mason,.533,.568,.438,.933,85,.494,.581,.176,.500,87
Louisville,2026-03-06,25,6,23,7,Syracuse,.559,.608,.412,.400,87,.343,.452,.160,.786,61
Kentucky,2026-03-06,23,9,29,2,South Carolina,.431,.395,.500,.571,64,.525,.532,.500,.731,87
North Dakota St.,2026-03-05,26,3,6,26,Omaha,.508,.614,.286,.750,87,.277,.308,.238,.667,37
McNeese,2026-03-02,26,4,22,8,Stephen F. Austin,.492,.476,.522,.786,87,.467,.462,.474,.818,60
Michigan St.,2026-03-01,22,6,23,6,Ohio St.,.404,.381,.467,.789,68,.492,.419,.563,.875,87
Tennessee,2026-03-01,16,11,26,3,Vanderbilt,.456,.532,.286,.900,77,.530,.545,.500,1.000,87
Maryland,2026-02-28,23,6,23,5,Michigan,.441,.435,.462,1.000,69,.567,.545,.625,.900,87
Arkansas St.,2026-02-27,22,8,11,17,Texas St.,.437,.459,.412,.786,87,.314,.375,.091,.833,53
Drake,2026-02-26,8,18,7,20,Evansville,.457,.543,.292,.727,87,.509,.625,.360,.692,85
Pacific,2026-02-26,11,16,21,8,Santa Clara,.451,.524,.345,.556,79,.462,.500,.381,.679,87
SMU,2026-02-26,9,19,17,12,Stanford,.385,.449,.188,.667,57,.540,.609,.353,.765,87
